Pikachu: Electric type, Ash's main Pokémon, Yellow color, Evolves from Pichu, Evolves into Raichu
Charizard: Fire/Flying type, Final form of Charmander, Orange color, Breathes fire, Has a Mega Evolution
Bulbasaur: Grass/Poison type, Starter Pokémon, Green color, Has a plant bulb on its back, Evolves into Ivysaur
Squirtle: Water type, Starter Pokémon, Blue color, Turtle-like appearance, Evolves into Wartortle
Jigglypuff: Normal/Fairy type, Known for singing, Pink color, Can put others to sleep, Evolves from Igglybuff
Meowth: Normal type, Team Rocket's Pokémon, Cat-like appearance, Can talk, Evolves into Persian
Psyduck: Water type, Always has a headache, Yellow color, Duck-like appearance, Evolves into Golduck
Snorlax: Normal type, Known for sleeping, Large and heavy, Blue-green color, Evolves from Munchlax
Gengar: Ghost/Poison type, Shadow Pokémon, Purple color, Evolves from Haunter, Has a Mega Evolution
Eevee: Normal type, Multiple evolutions, Brown color, Fox-like appearance, Evolves into various forms
Mewtwo: Psychic type, Legendary Pokémon, Clone of Mew, Gray color, Has a Mega Evolution
Lugia: Psychic/Flying type, Legendary Pokémon, Guardian of the seas, White color, Appears in Pokémon Silver
Ho-oh: Fire/Flying type, Legendary Pokémon, Rainbow Pokémon, Red color, Appears in Pokémon Gold
Celebi: Psychic/Grass type, Mythical Pokémon, Time travel abilities, Green color, Appears in Pokémon Crystal
Blaziken: Fire/Fighting type, Final form of Torchic, Red color, Can learn Blaze Kick, Has a Mega Evolution
Mudkip: Water type, Starter Pokémon, Blue color, Mud fish Pokémon, Evolves into Marshtomp
Gardevoir: Psychic/Fairy type, Elegant appearance, White color, Evolves from Kirlia, Has a Mega Evolution
Lucario: Fighting/Steel type, Aura Pokémon, Blue color, Evolves from Riolu, Has a Mega Evolution
Garchomp: Dragon/Ground type, Final form of Gible, Blue color, Shark-like appearance, Has a Mega Evolution
Greninja: Water/Dark type, Final form of Froakie, Ninja-like appearance, Blue color, Has a Battle Bond form
Sylveon: Fairy type, Evolution of Eevee, Pink color, Ribbon-like feelers, Known for its cuteness
Decidueye: Grass/Ghost type, Final form of Rowlet, Archer Pokémon, Green color, Can learn Spirit Shackle
Incineroar: Fire/Dark type, Final form of Litten, Wrestler Pokémon, Red color, Can learn Darkest Lariat
Zeraora: Electric type, Mythical Pokémon, Yellow color, Fast and agile, Known for its speed
Zacian: Fairy/Steel type, Legendary Pokémon, Sword Pokémon, Blue color, Has a crowned form
Dragonite: Dragon/Flying type, Final form of Dratini, Orange color, Dragon Pokémon, Can learn Hyper Beam
Mew: Psychic type, Mythical Pokémon, Ancestor of all Pokémon, Pink color, Can learn any move
Typhlosion: Fire type, Final form of Cyndaquil, Volcano Pokémon, Yellow color, Can learn Eruption
Feraligatr: Water type, Final form of Totodile, Big Jaw Pokémon, Blue color, Can learn Hydro Pump
Togepi: Fairy type, Baby Pokémon, Egg Pokémon, White color, Evolves into Togetic
Ampharos: Electric type, Final form of Mareep, Light Pokémon, Yellow color, Has a Mega Evolution
Espeon: Psychic type, Evolution of Eevee, Sun Pokémon, Purple color, Known for its psychic abilities
Umbreon: Dark type, Evolution of Eevee, Moonlight Pokémon, Black color, Known for its stealth
Scizor: Bug/Steel type, Evolution of Scyther, Pincer Pokémon, Red color, Has a Mega Evolution
Heracross: Bug/Fighting type, Single form Pokémon, Horn Pokémon, Blue color, Has a Mega Evolution
Tyranitar: Rock/Dark type, Final form of Larvitar, Armor Pokémon, Green color, Has a Mega Evolution
Sceptile: Grass type, Final form of Treecko, Forest Pokémon, Green color, Has a Mega Evolution
Swampert: Water/Ground type, Final form of Mudkip, Mud Fish Pokémon, Blue color, Has a Mega Evolution
Aggron: Steel/Rock type, Final form of Aron, Iron Armor Pokémon, Gray color, Has a Mega Evolution
Flygon: Ground/Dragon type, Final form of Trapinch, Mystic Pokémon, Green color, Known for its wings
Metagross: Steel/Psychic type, Final form of Beldum, Iron Leg Pokémon, Blue color, Has a Mega Evolution
Latias: Dragon/Psychic type, Legendary Pokémon, Eon Pokémon, Red color, Has a Mega Evolution
Latios: Dragon/Psychic type, Legendary Pokémon, Eon Pokémon, Blue color, Has a Mega Evolution
Rayquaza: Dragon/Flying type, Legendary Pokémon, Sky High Pokémon, Green color, Has a Mega Evolution
